country,region,year,earthquakeDeaths
Slovenia,Europe,1980,0
Solomon Islands,Asia,1980,0
South Africa,Africa,1980,0
Spain,Europe,1980,0
St. Lucia,Americas,1980,0
Sudan,Africa,1980,0
Tajikistan,Asia,1980,0
Tanzania,Africa,1980,0
Thailand,Asia,1980,0
Tonga,Asia,1980,0
Trinidad and Tobago,Americas,1980,0
Turkey,Europe,1980,0
Turkmenistan,Asia,1980,0
Uganda,Africa,1980,0
United Kingdom,Europe,1980,0
United States,Americas,1980,0
Uzbekistan,Asia,1980,0
Vanuatu,Asia,1980,0
Venezuela,Americas,1980,0
Yemen,Asia,1980,0
Afghanistan,Asia,1981,0
Albania,Europe,1981,0
Algeria,Africa,1981,0
Argentina,Americas,1981,0
Armenia,Europe,1981,0
Australia,Asia,1981,0
Austria,Europe,1981,0
Azerbaijan,Europe,1981,0
